Commodity,Attribute,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit Description
"Meat, Swine",Domestic Consumption,Russia,"2,805","2,928","3,135","3,211","2,978","2,975","3,138","3,296","3,202","3,363","3,468","3,558","3,640",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Serbia,270,274,302,316,327,337,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Singapore,118,110,120,111,126,127,131,132,138,126,145,136,142,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,South Africa,216,236,237,240,235,257,260,253,276,281,278,311,318,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Taiwan,900,919,906,891,875,937,902,919,936,928,914,909,916,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Ukraine,764,800,935,931,795,757,783,771,765,761,755,797,685,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,United Kingdom,0,0,0,0,0,0,"1,635","1,626","1,625","1,554","1,468","1,520","1,535",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,United States,"8,654","8,337","8,441","8,665","8,544","9,341","9,476","9,541","9,747","10,066","10,034","9,915","9,923",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Uruguay,35,39,45,52,51,52,57,59,63,63,61,66,71,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Vietnam,"2,203","2,245","2,289","2,343","2,419","2,533","2,662","2,743","2,869","2,493","2,687","2,884","2,985",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,World,"102,520","102,841","106,318","108,592","110,504","111,180","109,705","110,322","111,072","99,877","95,075","107,193","109,830",(1000 MT CWE)
"Meat, Swine",Ending Stocks,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Canada,39,56,58,65,77,69,63,76,69,80,66,90,60,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,China,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,European Union,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Japan,218,216,214,195,246,200,211,222,208,263,245,219,210,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,"Korea, South",60,50,90,100,118,118,103,100,180,225,201,171,182,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,United States,245,246,283,280,253,267,230,251,254,293,212,202,211,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Ending Stocks,World,562,568,645,640,694,654,607,649,711,861,724,682,663,(1000 MT CWE)
"Meat, Swine",Total Distribution,Angola,126,154,171,180,198,181,167,172,189,179,186,202,210,(1000 MT CWE)
"Meat, Swine",Total Distribution,Argentina,327,359,363,434,453,500,537,599,640,650,681,745,760,(1000 MT CWE)
"Meat, Swine",Total Distribution,Australia,522,519,546,543,553,594,596,623,640,667,620,654,665,(1000 MT CWE)
"Meat, Swine",Total Distribution,"Bahamas, The",7,7,7,6,7,8,8,8,8,8,7,8,8,(1000 MT CWE)
"Meat, Swine",Total Distribution,Belarus,413,463,485,459,346,316,342,358,376,369,394,408,425,(1000 MT CWE)
"Meat, Swine",Total Distribution,Bosnia and Herzegovina,19,21,22,25,26,28,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,Brazil,"3,196","3,228","3,331","3,336","3,402","3,520","3,702","3,727","3,765","3,977","4,127","4,368","4,413",(1000 MT CWE)
"Meat, Swine",Total Distribution,Canada,"2,009","2,057","2,136","2,098","2,082","2,188","2,194","2,239","2,259","2,311","2,469","2,449","2,420",(1000 MT CWE)
"Meat, Swine",Total Distribution,Chile,512,547,609,599,563,569,580,582,630,664,709,776,770,(1000 MT CWE)
"Meat, Swine",Total Distribution,China,"51,790","52,026","55,118","56,911","58,928","57,409","56,276","56,019","55,497","45,001","41,621","51,830","54,500",(1000 MT CWE)
"Meat, Swine",Total Distribution,Colombia,208,237,274,305,337,369,408,449,510,560,529,612,630,(1000 MT CWE)
"Meat, Swine",Total Distribution,Congo (Kinshasa),45,39,41,41,52,46,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,Cote d'Ivoire,19,19,24,33,23,35,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,Cuba,113,106,107,116,120,126,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,Dominican Republic,110,120,96,102,94,103,108,116,129,125,132,150,145,(1000 MT CWE)
"Meat, Swine",Total Distribution,Ecuador,194,209,212,227,215,216,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,El Salvador,12,11,12,13,14,13,14,15,18,18,19,25,27,(1000 MT CWE)
"Meat, Swine",Total Distribution,European Union,"22,656","22,972","22,546","22,374","22,554","23,260","23,103","22,914","23,325","23,160","23,379","23,819","23,250",(1000 MT CWE)
"Meat, Swine",Total Distribution,Guatemala,75,74,74,75,77,78,81,82,85,88,86,101,99,(1000 MT CWE)
"Meat, Swine",Total Distribution,Haiti,37,39,40,40,40,42,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,Honduras,36,34,32,35,32,39,43,47,53,55,57,72,69,(1000 MT CWE)
"Meat, Swine",Total Distribution,Hong Kong,458,549,534,523,472,518,533,573,539,405,441,438,422,(1000 MT CWE)
"Meat, Swine",Total Distribution,Japan,"2,707","2,738","2,771","2,745","2,790","2,768","2,839","2,956","2,986","2,980","2,981","2,983","2,984",(1000 MT CWE)
"Meat, Swine",Total Distribution,Kazakhstan,215,225,121,115,111,101,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,"Korea, South","1,598","1,536","1,637","1,730","1,779","1,934","1,999","2,028","2,182","2,238","2,182","2,178","2,221",(1000 MT CWE)
"Meat, Swine",Total Distribution,Macau,28,30,33,32,36,35,38,38,38,40,33,35,37,(1000 MT CWE)
"Meat, Swine",Total Distribution,Mexico,"1,607","1,552","1,678","1,782","1,815","1,977","2,054","2,152","2,293","2,393","2,396","2,639","2,735",(1000 MT CWE)
"Meat, Swine",Total Distribution,Montenegro,25,25,27,25,42,29,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,New Zealand,84,87,89,90,94,101,105,107,111,111,102,120,125,(1000 MT CWE)
"Meat, Swine",Total Distribution,North Macedonia,22,21,26,25,25,26,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,Norway,132,135,135,134,135,139,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,Panama,39,43,45,48,48,53,57,58,63,64,64,67,65,(1000 MT CWE)
"Meat, Swine",Total Distribution,Philippines,"1,468","1,482","1,499","1,558","1,599","1,636","1,733","1,802","1,884","1,807","1,283","1,458","1,375",(1000 MT CWE)
"Meat, Swine",Total Distribution,Russia,"2,805","2,928","3,136","3,212","2,979","2,981","3,159","3,326","3,239","3,431","3,624","3,716","3,740",(1000 MT CWE)
"Meat, Swine",Total Distribution,Serbia,273,278,307,319,347,353,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Distribution,Singapore,119,112,122,114,133,133,133,134,140,128,153,151,157,(1000 MT CWE)
"Meat, Swine",Total Distribution,South Africa,226,247,249,250,248,274,274,269,293,298,294,328,335,(1000 MT CWE)
"Meat, Swine",Total Distribution,Taiwan,902,923,910,894,878,939,904,921,938,930,919,913,920,(1000 MT CWE)
"Meat, Swine",Total Distribution,Ukraine,765,817,963,938,806,786,787,777,767,764,758,802,685,(1000 MT CWE)
"Meat, Swine",Total Distribution,United Kingdom,0,0,0,0,0,0,"1,924","1,926","1,932","1,892","1,817","1,776","1,800",(1000 MT CWE)
"Meat, Swine",Total Distribution,United States,"10,814","10,940","11,164","11,207","11,107","11,880","12,082","12,347","12,667","13,226","13,548","13,306","13,125",(1000 MT CWE)
"Meat, Swine",Total Distribution,Uruguay,35,39,45,52,51,52,57,59,63,63,61,66,71,(1000 MT CWE)
"Meat, Swine",Total Distribution,Vietnam,"2,218","2,270","2,311","2,360","2,435","2,556","2,712","2,774","2,889","2,503","2,692","2,890","2,990",(1000 MT CWE)
"Meat, Swine",Total Distribution,World,"108,966","110,218","114,048","116,105","118,046","118,911","119,549","120,197","121,148","111,105","108,364","120,085","122,178",(1000 MT CWE)
